Word	Total no. in whole corpus	Expected collocate frequency	Observed collocate frequency	In no. of texts	Log Ratio (filtered)
B	166	1	1	0.7
Programm	166	1	1	0.7
sorgen	167	1	1	0.7
unser	1497	5	4	0.65
gemeinsam	469	2	2	0.65
Beitrag	174	1	1	0.64
ein	9334	25	7	0.63
gestalten	177	1	1	0.62
erhöhen	177	1	1	0.62
gleichzeitig	188	1	1	0.55
sie	1183	4	3	0.55
Herausforderung	189	1	1	0.55
welcher	190	1	1	0.54
schaffen	508	2	2	0.5
Raum	198	1	1	0.5
umfassend	210	1	1	0.43
Form	211	1	1	0.43
Recht	534	2	2	0.42
Unterstützung	218	1	1	0.39
gut	771	1	1	0.39
der	40149	86	12	0.39
gesetzlich	220	1	1	0.38
Forschung	222	1	1	0.38
leben	223	1	1	0.37
unter	737	1	1	0.33
erhalten	236	1	1	0.32
gehören	237	1	1	0.31
wer	238	1	1	0.31
ihr	1261	2	2	0.3
stärken	581	2	2	0.3
werden	4685	9	6	0.29
Welt	258	1	1	0.24
Land	680	1	1	0.23
wie	1011	3	2	0.19
von	5472	11	5	0.19
Aufgabe	277	1	1	0.18
vor	648	2	2	0.17
Ziel	637	1	1	0.16
wirtschaftlich	289	1	1	0.15
auf	3053	6	3	0.14
wir	3487	7	3	0.12
muss	606	1	1	0.12
als	1589	3	2	0.12
zu	7704	19	8	0.12
noch	315	1	1	0.1
bestehend	315	1	1	0.1
Staat	586	1	1	0.09
haben	1079	2	1	0.09
Bundesregierung	321	1	1	0.09
über	711	2	2	0.08
ohne	330	1	1	0.07
bis	331	1	1	0.07
es	1531	4	2	0.07
sollen	1520	3	3	0.07
mit	2911	6	3	0.07
national	336	1	1	0.07
für	6101	13	7	0.06
bei	1552	4	3	0.06
politisch	551	1	1	0.06
international	550	1	1	0.06
wichtig	348	1	1	0.05
auch	1929	4	4	0.04
dafür	529	1	1	0.04
Leben	360	1	1	0.04
oder	999	2	2	0.04
digital	361	1	1	0.04
Jahr	362	1	1	0.03
sowie	1185	3	3	0.03
gegen	521	1	1	0.03
geben	368	1	1	0.03
nachhaltig	374	1	1	0.02
aller	1211	3	3	0.02
sozial	967	2	1	0.02
ermöglichen	386	1	1	0.02
Bildung	392	1	1	0.01
durch	1669	4	3	0.01
Freiheit	398	1	1	0.01
Ausbau	398	1	1	0.01
Frau	470	1	1	0.01
Politik	412	1	1	0.0
Mensch	1280	3	3	0.0
jeder	424	1	1	0.0
